comments,hate
가족예능중 최악이다.아들을 재기를 위해 나왔다가 온가족이 연예인병에 걸린것이네.이런 프로그램은 하지말아야한다.,1
윤총경과 vip수사 의지가 없다. 버닝문게이트 특검만이 진실을 알려줄수 있다. 문재앙정권은 무엇이 두려워 수사하지 않나?,2
나이가 어리잖아,1
법대로 처리해주세요 제발. . . 일벌백계를 보여주세요 태국 형벌중에 태형있는걸로 알고있습니다,0
좋은 댓글은 바로 지워지는것보니 누군가의 장난 및 댓글알바 의심되니 혜선씨 댓글 신경쓰지마세요~^^,0
요즘사람찾기 개쉬운데 일반사람들도 저거보단잘찾겠다 프로도예전만큼 재미도감동도없다,1
나는 이서진이 가기싫은것 이미지땜시 가는것 같은 느낌이 왜들까.... 이중적인느낌,0
계속 보다 보면 이해될거임,0
한수민씨 예뻐요,0
그 종족 하신 그분..,1
그래도웃긴다.... 모자이크처리하면될걸. 생명의은인인데 너무한다.,0
임성한이 은퇴하고 난 뒤 막장계 탑오브 탑은 김순옥... 뒤를 이어 문은아가 위협 중 근데 재미는 김순옥을 따라올 자가 없음,1
저 아나운서 이젠 메갈들 용어로 흉자된거임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 메갈들 부러워서 키보드 잡고 부들부들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
효리는 만두속 같이 못 생긴 김제동을 실제로 보면 얼마놔 더 못 생긴 놈일지 그런 놈 하고 왜 어울리냐?⁉️⁉️,2
서민들 장사하는 사람 백종원 욕하는 사람 엄청 많습니다 ㆍ,0
이현이 보고 짜증나는거 박가원 보고 풀었는데 왜들그래,0
쌈디 조타~,0
디저도 상관업다,2
신혜만 보인다 넘 예쁘고 엠마 와 진짜 신비그자체두주연땜에 본다많이 나오구 진도 좀 나가자,0
왜 엄마가 죄스러워야 되죠?당당하게 사세요 엄마가 죕니까,0
이쁜데 뭐가아쉬워요..잊고 좋은사람만나요,0
결론은 많이 먹어서..예요,0
불쌍한 이찬오 얼마나 맞고 살았으면 그랬을까 얼마나 징글징글한 여자였으면 그랬을까,1
그만 나대~~~ ㅈ-랄도ㅈ풍년이다,2
지겹다 고마해라,2
왜 욕먹는거?연예인들 몰래 사귀는거?그럼 욕 안먹을 연예인이 있긴 한가?또 머 있음?예능 찍은거?무슨 다큐 찍었나?이상한 인간들이네 욕먹을 이유가 1도 없는 연예인 같은대 쓸때없이 ㅈㄹ들이네,2
둘다 누군지도 모르지만 일본 연예게에 관심도 전혀 없음..,1
얘는 왜이렇게 매사 감성적이야? ㅉ,0
진짜 한심한국민들 ㅈㄴ게 할짓거리 없나보네..그러니 재앙이나 대통으로 뽑아놓지,2
부장검사 꼬리자르기로 끝났기때문에 윗선잡기 해야함.,0
안보면 되지 왜케 말이많으ㅡㅡ프로그램제작을하든가,1
"근데 범죄된 것만 문제삼아라... 잠자리에 미치든, 호색적이든 왜 그걸 문제삼냐?",1
잘가라 현관아 좋은곳에 가라 만약 노짱 만나면 자살인지 혹시 타살인지 꼭 물어 바주라,2
미세먼지 들이마시면서 캠핑을 하고 싶을까?,1
이년 이년 이년 좋겠다,2
성현아 이뻐나의 성장기 여신이였어까지마셈~!!!,0
돼지년이 뭘 그리 잘 만들어 처 쑤시고 살이 찌고 그리 징징거리냐 적당히 자제 해가며 먹지 그러니까‼️‼️‼️‼️,2
조민기 안테 피해당했다는데 실체는 없구만..피해자가 직접나서서 고소한것도 아니고 온통 찌라시만 가득.. 저렇게 외도 했다고 하는데 아내가 저럴정도로 애정했을까? 라는 의문투성이.,0
소녀시대인가? 거기있을때보다 지금이 더 존재감있고 좋아보임! 배우 최수영 화이팅!,0
"이제 책임만 질 수 있다면 자유롭게 사랑해도 되는 시대 아닌가? 홍상수 감독 자녀들도 다 성인으로 알고 있는데, 이 이혼을 막을 이유가 뭐가있지?",0
다니엘이 훨씬 아깝다.. 급에 맞게 사귀어야지 에효,1
연정훈 비호감,0
종교는 자유지~~~ 박근혜가 문제였지. 축하드려요~~~!!!,1
연애하고 얼굴이 왜 더 아싱해짐.. 앞머리 없얘요..얼굴형이. 없었던 전에 머리 훨남...나보다 어린데..왜 웃을때 양쪽 팔자가..,1
간만에 좀 재밌었다 전회장의 빈자리가 아쉽다 전회장 있을땐 의자앉아서 토크만해도 재밌었는데,0
이혼을 하더라도 결혼은 한번 해보는게 좋은거같다,1
시즌제 ~~~~~가즈아,0
뭐 다기부했겠냐 한 이백억정돈 냉겨놨겟지 자식이나가족들 앞가림할정도챙겨주고,1
성현아 얼굴 되게 이뻐졌다..오히려 20~30대 얼굴보다 갸름하고 균형 맞아진 느낌,0
황금빛 약빨 떨어지니까 슬금슬금 나오는 군ㅋ,1
ㅋㅋㅋ 저런것도 정신병임. 정신과상담받으세요,2
부모가 잘못한걸 왜 아들이 변제해야되는지 모르겠네,0
그냥 좀만 빼고 입자,1
공블리 항상 응원합니다❣ 공배우님 인성이 좋으니 저희 팬들도 당연히 매너 갑이죠.,0
쟤네들이 피를 나눈 형제도 아니고 그렇다고 절친도 아니고 고작해야 사회로 치면 직장동료일뿐인데 그렇게 슬퍼하겠냐?냉정하게 생각해봐,1
아들 결혼식에서 '옥자씨 잘해줄게' 는 왠 말 ㅠㅠ이아저씨 정말 진상이야 짜증나 이제 그만 나와요광산김씨 지겹다 정말 .. 하차 안할거면 옥자씨 친정 식구들이나 나와라 김씨들 그만 !! 장작가에게 김승현씨 이미지만 나빠짐,1
"2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은",2
예능에서 자주 나오는 웃길려고하는거지만 상당히 정확한 전기오는 거짓말탐지기 유재석이 한거보면 집에서 확실히 힘들긴한거같더라 ㅋㅋ 느낌상 유재석이 정확한데 나경은은 더 정확하니 평소에 집에서 답답한일 많을거같다 ㅋㅋ,1
지디 얼굴이 변했네요 부어도보이고...,0
나래랑 방송같이 하기 싫어서 하차하는 걸꺼야.유미가 투샷을 원치 않으니까,1
빛투나 해결해라,0
이런 기사는 안 보고싶다,0
티아라란 걸그룹 아깝긴 하지...히트곡도 많고...애들도 예뻐서...왕따사건만 아녔어도 더 롱런 할 수 있었을 텐데...솔직히 소시 보다 훨 나았지...,0
근데 일진이었다는게 이렇게 근 파장을 일으킬 정도인가?.. 너무 오바하는거 아니냨ㅋ,1
30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ,1
근데 실종이 아니고 삼촌이 사업실패하고 잠수탄거같은데... 실종이랑 잠수는 다르지...,0
이넘은 뭐 매번 인터뷰마다 돈돈 거리네 ~ 양희은언니 좀 본받아라 ~ 다들 먹고살게 힘든데 돈도 많이 버는것들이 방송나와서 자꾸 돈돈 거리는거 일반인들 힘빠지게 만든다고 ㅉㅉㅉ,1
거의 대부분의 사람들은 양준일에게 아무 관심이 없다. 어거지로 자꾸 띄워대니깐 이제 거부감이 든다.,0
이제 약빨떨어진거같은데 고만폐지하자 잘사는집애기들 돌봐주기도아니고 노잼이다,1
똑같은 배우 똑같은 연기 똑같은 캐릭터 한국 드라마는 진짜 발전이 없다 새로울것도 없고,0
맴버들 밥먹다 채하것다ㅋ,0
유강라인 이었으면 좋겠다,0
무고한 생명들이 죽어 나가는 판에 좀 너무한거 마닌가? 생각도 없고 개념도 없는 부부일세 ㅜ,0
자본주의가 낳은 괴물 커플,1
구혜선!!응원한다 쉽게변심한 안재현 어떤식으로든 죗값받기를 바란다 한여배우(여자)인생 망친놈이다,1
다 지루하고 숙행만 기대. 진짜 연애가 필요보이는 사람 섭외해라,1
진실은 조만간 밝혀지겠지~,0
추카추카 친구3인방 안부도 궁굼하네요~~ 정말 재밌게 봤는데,0
너무 이쁘다,0
설정 오지게 쩐다 쩔어 형철커플이랑 겹치네 정장입고 식사하는 장면,1
죽은 최진실도 거의 닮지도 않은애가단지 진실이딸인것 뿐인데~본인이 엄마처럼 대스타인양 관심 받고싶은건지.......정상 아닌듯너 오빠처럼 조용히 살지.......,2
화사 박봄이 댓글 점유율 최상위인거 보니 믿거 프로구만,1
역시 헬조선에선 금수저로 태어나야해!!!,0
임현주 남자 앞에서 실실 쪼개면서 꼬리흔드는게 재섭음. 웃을 일도 아닌데 오바떨고 남자를 홀림.,2
김지석 얼굴길고 싸가지 없음 ㅇㅇ,1
얘가뭔죄고 맷퇘지들아ㅋㅋㅋ,2
정해인은 너무 귀척해서 별로ㅉㅉ니가 훨 낫다,1
김태호도 감이 떨어진게 유재석은 패널들에 얹혀가는 자가발전안되는 십거품인데 또 유거품을 썼다는거. 거기다 유재석새기 지랑 맞는다 생각하는 양배추랑 또하는데 둘다 그냥 처망한거지. 양배추는 상승세에 잘못 줄서서 추락을 맛볼거구,2
몸이 중년 아주머니네 살빼라,2
믹스나인 데뷔조밖에 생각안난다 걔들이 더낫지 진짜 인물도 정말없고실력도 거기서거기고 믹스나인데뷔조얘들은 그렇게버리더니성공많이하세요 약회장님,1
대마는 이제 la에서도 합법이다. 그만 짖어라,1
"김세정 옛날 얼굴이아닌데 혹, 성형했나요? 지연도 마찬가지고! 나이들어보이던데.. 원래얼굴들이 훨..",1
여자가 너무아까움,0
40대늙은이 32% 돌아이련들...쯧쯧쯧,2
지코가 석자...ㅎ,1
암 가족분들힘내세요 하이팅입니다,0
적당히 해라 운전하다보면 보복운전 하고싶은 경우가 얼마나 많은데 그냥 이해하고 나도 그런상황만들수 잇으니 넘어가는거지 여기 댓글쓰는사람들은 운전자 아닌듯하다,0
물곰 원래 비쌈... 그럿도 모르고 5인분 시킨 얼간이들 잘못이지... 왜 애꿎은 가게를 욕하지???,2
헨리 너무 좋아요❤️❤️ 나 혼자산다에서 오래오래 봤으면 좋겠어요 ^^,0
저둘이 사귄다구요? 미쳤네요 너무 나이차이가...,1
여자때문에 남자가피해보네,2
지지난달 킨텍스 전시장에서 이상아누나 봤는데! 확실히 연예인은 급이 다르더라! 세월이 흘러도 이쁘긴 진짜 이쁘더라.예전에는 진짜 탑급의 하이틴 스타였는데... 악플러들 니들이 이상아 악플달 자격이나 있냐?,0
엄마 없다,1
근데 어느정도인지모르겠으나 그냥가만히있는데 혼내고 때리진않았을건데 너무 한쪽말만 철썩같이 들어주는거아님?,1
많이 힘들었을텐데 컴백해줘서 고마워♡,0
얼마나 빡대가리면 떨어지누 ㅋㅋㅋㅋ,2
이 드라마는 전작들에 비해 노잼....,0
남주여주가.. 밍숭맹숭한데..,0
무슨 아버지의 이름으로 ㅋㅋㅋㅋ 그냥 무서우니까 제일보고싶은 자식내미 부른거지 포장은 ㅋㅋㅋㅋ ㄱ,0
정준영이랑 했으면 여자가 개이득 아님?,2
"히트작이래봐야 미사, 발리 두개 정도가 다고 연기력도 그저 그런 수준으로 배우로서 명성보단 소간지로 더 유명한 대표적인 거품배우..",2
정말 현대의학의 힘은 대단하다는걸 느끼게해줌..,0
전에 악플달아서 미안해요 그땐 김스카이팬이라서... 무튼 사실 남녀관계는 본인외엔 알수없죠 요즘 자꾸 악플유도 기사 올라오는거같은데 사실 님 이뻐요 힘내세요,0
극중 지성이 맡은역할 정말 별로,0
슈는요? 강원도에 이싸요?,0
"모든 암이 그렇지만...췌장암, 담도암...진짜 싫다ㅠㅠ엄마를 하늘로 데리고 갔어ㅠㅠ삼가고인의 명봅을 빕니다...",0
얘는 스타성이 없진않은데 뛰어나온 입이 영~촌스럽다. 양악수술하고 나오지. 방송보면 뛰어나온 입때문에 늘 촌스러워.,2
주방장 새끼들한테 쉐프라는 이름 좀 쓰지마라.,2
기부도 안 하고 물바가지 뒤짚어쓰는게 뭔 소용이람,1
진짜 한혜진.얘는 왜나와 ㅡ ㅡ 완존 노잼!!,1
한혜진도 존.못이었는데 얘도 비슷하네. 그래도 얘는 머리라도 똑똑하니깐머,1
"거거, 남자가 사업하다보면 접대도 할수 있는것이지... 비즈니스를 모르시네..",2
좌빨 영화 납시요 개돼지들 선동시키기 딱이요,2
솔까 기안84 작업실 오픈때 아무리 친해도 한혜진의 행동이 조금 의문 스럽긴 했음 남자친구 있는데 아무리 친한 동생이라지만 가서 그래 웃고 즐기는게 나만 이상하다고 느끼진 않았을듯,1
기자가 기레기 티내나요? 주홍글씨는 불륜녀한테 붙인 낙인인데 책 좀 읽으세요. 무식한 기자 양반아.,2
호란언니 화이팅하세요~ 음주는 지난과거 앞으로 멋진인생 살아주는게 팬들에게 좋은모습 보여주는거에요~^^,0
모든 여자들은 설리를 본 받아야 한다. 가슴은 더이상 숨길게 아니다 설리처럼 다 까고 다니자! 설리야 응원한다!,1
ㅋㅋㅋ 한국에서 더러운 불체자 태국넘들 개많은데 그 쉐리들도 일단 깜방보내자ㅋㅋㅋ,2
강남이니까 일본임에도 불구하고 인정하는거임 이승기 정준영 친구같은 날라리였음 용서 안해,0
행복하게사시길 악플러는어디에도있죠 신경쓰지마시길,0
참 애쓴다 애써 걍 당당하게 사귀지 그게 뭔 꼴볼견이냐?,1
살아있는게신기ㄷㄷ 쌈디나이가 거의마흔인데 어릴때실종됐는데 ㄷ,0
아름다운 종료 기대되요. 빨리 보고 싶어요.,0
● 꼰대들 특징: 나 때는 말이야~ 누가 뭐라고 괴롭히든 다 참고 버티고 다녔어~ 그만한 일로 그러냐ㅉㅉ 약해빠져가지구 ㅉㅉ 원래 사회 생활이 그래~~,1
자야하는데... 엔딩 부분 계속 보게 된다. 만월 진짜 과거도 현재도 왜케 슬픈지... 연기 최고 였다,0
음악퀄은 아직도 3사중에선 오이지야 음악 뮤비 무대 돈을 안아껴,0
겸손하게 고사하는 백종원 과 그걸 또 받는 유재석의 그릇의 차이가 너무 확연히 느껴졌습니다. 진짜 대상은 누가봐도 이견없이 백종원 이라고 생각합니다.,0
지성이 더잘생김,0
너무 인신공격은 자제들합시다 당신들은 뭐깨끗한가요?ㅠ 그래도 일본에서나 해외에서도 알아주는 탑클래스에요 ..국내 명예도 높였는데 가만해주면 좋겠습니다.더이상 상처받지말고 늘 응원해요 오빠 ㅠㅠ,0
양녀 롤이면 재산도 물려받고 미래 생각하면 개이득이지,1
"근데 브라 해본적도없는 한남들이 왜 더 거품물고 난리임 ㅋㅋ 관심없다면서 기사마다 댓글비율 20,30,40대 한국남성임 ㅋㅋㅋㅋㅋㅋ 브라 해본적도 없는 수컷들 주제에",2
에이미 제발 조용히 사세요..다른 사람에게 피해주지마라..너로 인하여 아무 이유없이 피해보게 하지마..재수앖네,1
아이를 키우시면 진정 이 나라가 어떤 방향으로 가야하는지 깊이...깊이...생각해 주세요! 지금의 이 정권...무조건 편드는 건 정말 아니지 않나요?,0
범인은 김남주,0
김동명은 실력이 역부족이라 잘나갔네,1
근데 인상이 좀거시기한군 뭔가 한성격할것같은,1
피떡이 되게 맞고 위자료 명분으로 돈 받았을거 같은데,1
세령아 난 어떠냐. 나도 어디가면 이정재달맛다는소리 마니드러,1
여주 남주 밉상이야 이기적인 종자들,1
내가 너를 고소하고 싶어 정국아 진짜 존나 패고싶다 생각이없니? 국뽕으로 뭘하든 오냐오냐 해주니가 뭐든 니 멋대로 해도 되는것 같아? 공항에는 꼬박꼬박 마스크 끼고 오는놈이 놀러다닐땐 마스크도 안쓰고 진짜 서운하다 정국아,2
원래 레파토리였지 계획된,0
난 여자지만 송다은이 젤 매력있던데ㅋㅋㅋ,0
"작가 애도 성상납 했나, 어디서 주워 듣고 다 아는것 처름 애기하네, 푼수",2
폐지해라 윾도 제발 ㅋㅋ,2
사진보니 새삼이쁘네...예쁜아가낳고 행복하게 사세요~~,0
조만간에 이 부부도 이혼각이네 ㅋㅋㅋ,2
다솜씨 다음엔..산에백숙먹으러 '아빠'랑 가지말구 '오빠'랑가요~난 다솜이좋드라~ㅋㅋㅋ ㅋㅋ그리고 개예쁨♡♡♡,0
애초에 결혼할 사람과 성관계 가져라~~,0
박보검 제발 종교에서 빠져나오자,1
시엄마랑결혼한건가했어 시엄마가 너무 쎄다 너무 내놓지 말고3년살아봐라 귀머거리 장님 또머하나더있었는데 시짜는 시금치도 안먹는다는데,1
글게 탈세는 왜함?? 그냥 벌받았다 생각하셈. 솔직히 동정심 안가네.,0
응 무리수....,1
제발 부탁요연예인여려분악플러들 신경쓰지들 말고사세요들,0
연기도 조여정이 젤 좋았음,0
왜 하필 전라도로 가서 이런 참변을 당하셨나...,1
내가 보기엔 이거 돈떼먹으려는 수작 아니냐? 이거 다 쇼아냐?,1
이쁘게 잘살고 있고만 먼 생트집이야순산하세요,0
근데 이 여자 전라도 광주사람임,1
임세령이 복찬거지!!내가 여자면 난 이재용이랑 살텐데...,1
괸찬아! 갑상선암은 조기치료하면 큰걱정안해도 된다 !! 빨리 완쾌해서 다시 무대서기를 화이팅 !!!!,0
검사할때 한방울 슬쩍 떨어뜨리고 마약 나왔다고 하면 누구나 걸리는거 아니냐?,1
오지랖정권 이번에 또 제대로 헛발질 할거 같네.... 저능아 집단이냐?,2
그냥 무작정 까고보네 미성년자도 결혼할수있는거고 나이처먹고도 애지우려드는 너희들보다 훨 떳떳하구만 지금도 비방댓글 달면서 부모님 등골뽑아먹는것들이 부들대는거봐라 인생이 늘 불만이네,2
이 드라마엔 여주가 없군.,0
치매는 다양한 생각을 하지않고 안주하고 편안곳예만기대고 특히 운동이나 기억력증진을 위해 노력하지 않는다면 누구나 걸림 특히 고집세고 한가지방식만 생각하고 자기들이 옳다고만 우기는 사람들은 백프로 걸리는게 치매,1
첫회부터 뻔한거임~ 장나라의 의부증이 원인임~ 그냥 첫회부터 그럴줄 알았음~~,1
으메 돼지같이생겨구만 먼얼굴에 살이 코는 살이 으찌 저러게 졌을까 광대는 살이 오메 박신양 때문에 본다 고현정 리턴 sbs안돼니 kbs 와서도 안돼겠다 누가 대타좀 구해줘...코맹맹 발음 와~ 쩐다 쩔어 누가보긋냐..,2
수임이 너무 단순 무식하다. 남의 마음 따윈 안중에도 없음.,1
일본 축구 져라,0
김수민 대세 인증이네 ㅎㅎ 그리고 여적여는 만고의 진리,1
여자가 99억명이면 좋겠다. 그럼 결혼하기 쉬울텐데.. 골라먹을수 있으니..,2
연기도 넘 잘하시고 훌륭한 배우라고 생각합니다..항상 건강하시고 응원합니다^^,0
힘내소...연기로 답해요.나도 53살 인데 이런일 저런일 다 있더라구요.인격을 믿습니다..홨팅,0
여자 교도소 가고 싶다...킁킁킁,2
뭐 웹드기도 하고 크라임씬 같은 데서도 예능이긴 하지만 괜찮게 해서 좋게 생각함,0
반전있을듯 김혜나는살아있다.,0
로또사러갔다가 인생 로또 맞았네요 장동윤배우 앞으로 응원합니다♥,0
기사 사진만 봤을땐 그닥 몰겠다 무튼 일본은 짜져라,2
감당이되냐ㅋㅋ일이천도아니고 현재돈으로 수십억할지도모르는데ㅋㅋㅋ 도끼라해도 변상다못한다ㅋㅋㅋ 그냥 잊혀질때까지기다렸다가 좋은 앨범으로 보답하자!,1
꼴에 여자 가리는 거야미나가 과분해서 안 어울렸지만핑계를 대도 바빠서 ㆍ 찌질하기는 ~~수준에 맞는 여자 있으려나가식적인 넘,2
결혼식을 준비하던중 임신을 했다...자기 입으로도 갑작스레 결혼발표를 하게 되었다고 하는거 보니 약간 냄새가 나는데..일단 결혼과 임신은 가히 축하받아야 마땅하지. 조금 더 솔직하게 밝혔으면 하네..,1
막내딸이랑 기태영 잘어울린데 왜 난리들 ㅠ,0
하현우팬들 혐오스럽네 .. 가수로 애가. 뭔 대단한 커리어가 있다고 여자가수라 팬수도 적으니 아주 악플쩌네,2
이게 왜 욕을 먹는거야? 하여간 남 잘되는 꼴 못보는 한국인 종특 ㅋㅋ,2
여보세요~~~ 그냥 남자가 권태기 와서 여자 버리고 싶어진겁니다~~여러분 결혼 한번 안해본 사람들처럼 왜이러세요~~,2
아까비... 강남에 클럽 하나 있었으면 운전병으로 꿀빨텐데,1
노무현 실루엣이면 뭐 어쩌라구 놈현이 신이냐아주 어거지네,2
몸이 안 따라준거였네. 마음고생 심했겠다. 그냥 솔직하게 얘기하지...,0
하도 나대고 다니니..,1
반성안해도됑 걍 평생감옥에서 살아 너무 가증스럽다,1
구혜선씨 미우새에 미리 양해라도 구하던지누가 무책임한지 모르겠네보기엔 얌전하고 성격 좋아보이드만완전 가식였나봄.이렇게 맘대로 하는거 보니 성질 드러운거 같네,2
시ᆞᆞᆞᆞ뱔 유재석 너도 보고 좀 배워 돈만 벌지말고,1
이게 무슨 단발이니,0
사람고기 먹는 거 생각나네,0
이런상간년들하고파람피우는게 바로니신랑이란다,2
성폭행당하는 여자 도우려다가 인생 말리는 사람 여럿 봤는데 운 좋으시네,1
오빠 언제나 늘 강성훈만 응원할게요,0
양세형 빨갱이인줄,2
개노잼 빨리 프로그램 내려라,0
왕따는 등록안해,2
왜 여자로써 안사랑하고 하나는 남장을 하는거지?,1
"지랄도 풍년이다. 문재앙이 과거사로 사사건건 시비거니 아베가 빡쳐서난 사단인데, 애먼 여행객 한테 왜 지랄들이냐? 아예 공항도 폐쇄하고, 뱃길도 끊지 그러냐?",2
방송출연해서 이런말 막해도 되나? 김학래는 가정 없이 혼자사는분인가? 글고 아무것도 모르는 우리도 남을 쓰레기라 말할 자격있나? 김학래씨도 잘못했다고 인정하는게 좋을듯 어떤 사정이 있었는지는 모르나 잘못한부분은 분명히 있으니,2
이미지 전환시킬려고 막무가네 기사올리더만 결국 하나 건졌네 ㅊㅋ,0
좀 못하긴했어도 이정도까지 논란될 정도는 아닌듯애초에 신인이고 그냥 쌩라이브였는데 에코없이물론 더 잘했으면 좋았었겠지만 너무 까는것같아서 좀 그렇다,0
솔직히 옛날모습은없긴함. 관리를하셔야함,1
전현무?조세호? 고르라고??토 나온다,2
이제 박유천그만 까라개인일이고 욕먹을 만큼 먹었디ㅡ,0
아주잘키우고있는데..여기.불만가득한40대들 여성들 너무많네요..문제집 같이푼 어머니들만왈가왈부할수있을듯..남잘되는꼴을 못보는 심보들인듯!!!!,1
군대나 가세요,0
진심 세상 혼자사시네..... 갑자기 내쪽으로 걸어오시면 숨도 못 쉴 듯....,0
근데 5살도 유모차 씀?? 애가 15년 초 출생인걸로 아는데.. 5살이면 유모차탈나이는 지나지 않았나,0
전원조작이라니 말도 안되죠그런개소리는 어디서 가져오시는거죠?아 기자님 상상력?,1
쌍방 잘한거 하나도 없다,0
엄마는 저렇게나 이쁜데...넘 이쁘다,0
결국 유연석도 ㅋㅋㅋㅋ커피프렌즈는 적당한사기에 잘 끝났네,0
으이그 그딴걸 자랑이라고 짖거리냐? 너거새끼가 학교째고 그래봐라 ㅉㅉ 하여간 자식은 부모를 닮는다더니 ㅉ,2
여자 연예인들은 참 힘들겠다ㅠㅠ,0
예능인데 웃긴 애가 단 한명도 없는 이상한 프로그램... 걍 사람이좋다 같음,0
나도 니 센터 고집할 때 황당함이 말로 표현이 안되더라,1
다 설정이었나 보네.요즘 대부분 젊은 며느리가 갑이고 시어머니가 을이라 시누이들이 친정엄마 고생하는것 보기 싫어서 명절에 친정에도 안 간다.,1
너무 이쁘던데,0
팩트: 여기서 글쓰고있는 사람들보다 육지담이 훨씬 잘나감ㅋ,1
"아니 인스타보고 이게 기사거리야,? 인스타에서 사진 퍼오고 기사거리 진짜 없나바",1
난 54키론데 66도 작을때가잇는데아무리바도 77도 작을듯한데~모지얼굴살만빠지고 배는 쪼금빠진것갓은데~웃긴다,1
허스토리 왜 상영하는 곳 찾기가 힘든가요?다른 헐리우드 영화는 상영관도 많이 배정받고 상영일도긴 것같은데 허스토리는 벌써 내리고 없네요..보고 싶어요.,0
동백꽃이 얼마나 재밌었는지 알겠다,0
홍진영도 생각도 없다 홍진영이 돈 더 잘버는데 ~~ㅋ,1
죽은이 앵간이 우려먹어라 상먼의미,2
어제 너무 재밌으시던데요! 잘 봤어요ㅋㅋ뉴스에서 계속 볼 수 있으면 좋겠어요~~,0
부러우면 지는거지~~ 참하고 이쁘구만~ㅋ장예원보다 이쁘구만~~ ㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋㅋ 정존물 ㅋㅋㅋㅋㅋ,2
김성구 마누라 엄청 을궈 먹는다 마누라 안죽었음 어쨌냐,2
글만읽어도 진부하다..70년대 일본소설 느낌을 벗어날수 없다..오싱같은..,1
"저 X 들, 밥먹고 드럽게 할 일 없나부다... 요즘 군대가 군대냐?..당나라 군대지.. 졸라 빠져가지고..ㅋㅋ",2
솔직히 정준영 최종훈급은 몰라도 주진모 장동건급이면 범죄가 아니라 재능기부로 봐야지 ㅋㅋㅋㅋㅋ,2
엠빙신 채널지운지 오래 최승호뒺문으로 들어온 적폐 사퇴시키고구속해야지.국정농단문재인은 정작 국민대중이 원하는 조사나 구속은 없고 지가 싫은것만 벌하면서 경제말아먹는싸이코 이중인격 찐따,2
하튼 못생겨거지고는 신비주의저놈의 컨셉 다늙어거까지저러내 무도에서 노홍철 극혐학때부터 니인성 거덜날다 못난아,1
ㄱㅣ사 쓸게 없구나 이딴게 기사에 나오고 봐야하다니...,1
헤이 댇~ 아빠 코리아에서 사긔 쳤얼 맨?,1
여자의 적은 여자다 ㅋㅋ 미투피해자 vs 조민기 아내,2
잘생긴애들이 99의 여자 다 따먹고 다니는게 맞는 모양이네 솔직히 부럽다 나는 돈주고도 그정도 따먹기 힘든데 ㅠ,2
현아가 저러면 욕 엄청할것들이 화사가하니 멋있다하지 화사도보면 스스로 성상품화하네나혼자산다에서 운동회때 바지계속추켜 올려 중요부분 티나게 할때 부터알아봄,2
종국이가 낫구만 얼굴이 다가아니다 사람은,0
도대체가 생각이있는애야뭐야 부끄런지도모르고 아예벗지그래 말쎄다,2
갈수록 싸구려가 되가네...,1
운동하는 아들이 없군. 좋은 아빠,0
모야 크러쉬 개멋져....노래들으면서 자야지,0
살찌니까 최유라모습 그대로네,0
진화야 더 늦기전에 손절하고 어리고 이쁜애 만나라,1
이게 왜 실시간 검색어1위?????진짜 웃긴다 네이버 새끼들...,1
이여자 돈갚았나모르겠네 3000만원,1
태랑이도 극중에 막 호감형은 아니지만 드라마는 드라마로 봤으면 좋겠다..다 잊았나...진우 바람피운거..몰 자꾸 바람피운 사람이랑 잘됐으면 한다고하는 사람들이 이렇게 많은지...,1
한혜진이 넘 아까웠지~애초부터 만나지말았어야했어,0
몽형 모두가 기다렸습니다 컴백 축하드립니다유스케도 나와주세요,0
마른사람들 부럽다 만삭인데 어케 배만 나오지,0
조인성 방귀 잘낄거 같아 냄새도 독하다던데,2
이미 인증한사람이 뭐 아쉽다고 구라치겠슴?그리고 뭔상관이지 들???,1
그냥 강남 상판대기구만....!,1
내가 진짜 현빈 땜시 본다 도대체 뭔 얘기를 하는지 도통 모르겠네 나만 그런가 ~,1
유재석캐릭터 이제 질린다,1
언젠간 어떤남자에게 소유물이 되겠지? ㅇㅇ 노처녀는 안될거 아니냐? 김태희도 결혼할판에 김태희는 비 소유물이다,2
ㅁㅊ 약쟁이 슬슬 기어나오시구요~,2
알바들아 댓글실명제해도 그렇게 악플달꺼?,0
아우 어쩌라고. 이승훈 차장 아니라는 기사로 도배하면서 물타기하더니,1
퇴물아재 결혼 얘기말고 우리 방탄 오라버니들 미국 프로그램 스케쥴 잡혔던데.. 그거나 기사내주세요 기자님~!,2
앨범홍보때문에 터트린거자나 이쁘게봐주자,0
주위를 잘 안보고 생각없이 이쁜척 도도하척 하고 다니다가 꼴좋다 ㅉㅉ외국에가서 가구를 보다니....이해불가,1
베댓 꼬라지봐라 ㅉㅉ 남이사 다끋어고쳤든 니들은 자연인수준 얼굴로 안뜯어고쳐가지곤 이용대같은남자 절대목만남,1
난 김수현이 겹치는데 말야..,0
